NORAD_CAT_ID,DATE,MEAN_MOTION,ECCENTRICITY,BSTAR,A_KM,HP_KM,HA_KM
25544,2020-01-01,15.49530464,0.0005118,2.5131e-05,6796.23564488654,414.62033148348837,421.57695828959277
25544,2020-01-02,15.49528989,0.0005242,4.9678e-06,6796.239957786807,414.54036880093554,421.6655467726796
25544,2020-01-03,15.49532356,0.0005224,1.535e-05,6796.230112688216,414.5427620773471,421.64346329908403
25544,2020-01-04,15.49537094,0.0005192,2.2358e-05,6796.21625884984,414.5506633682453,421.6078543314361
25544,2020-01-05,15.49540473,0.000518,2.5771e-05,6796.206378749476,414.54894384528416,421.5898136536689
25544,2020-01-06,15.49543021,0.0005184,2.6906e-05,6796.198928493342,414.53877896881113,421.58507801787255
25544,2020-01-07,15.49546996,0.0005157,2.9535e-05,6796.187305783668,414.5455119900762,421.555099577261
25544,2020-01-08,15.49549688,0.0005128,2.9247e-05,6796.179434532785,414.55735371875744,421.52751534681465
25544,2020-01-09,15.49547809,0.0005256,7.6486e-06,6796.184928616716,414.475853818235,421.62000341519797
25544,2020-01-10,15.49550125,0.0005192,1.1565e-05,6796.17815677244,414.51258107344347,421.5697324714374
25544,2020-01-11,15.49552011,0.0005135,1.3208e-05,6796.172642234686,414.5458075828983,421.52547688647337
25544,2020-01-12,15.49557581,0.0005048,2.5928e-05,6796.156355992832,414.58865626432726,421.4500557213378
25544,2020-01-13,15.49560898,0.0005021,2.9689e-05,6796.146657392104,414.59731215542797,421.42200262878123
25544,2020-01-14,15.4956348,0.000497,2.4739e-05,6796.139107887242,414.62442675062266,421.37978902386203
25544,2020-01-15,15.49564288,0.0004963,1.9063e-05,6796.136745381894,414.6268227151613,421.372668048627
25544,2020-01-16,15.49569255,0.0004979,2.5928e-05,6796.122222451671,414.6014331971128,421.3690117062306
25544,2020-01-17,15.49571854,0.0005048,2.6247e-05,6796.114623308915,414.5469446470688,421.4083019707623
25544,2020-01-18,15.49572482,0.0004972,1.9853e-05,6796.1127871206245,414.5967598428688,421.3548143983817
25544,2020-01-19,15.49574014,0.000497,1.7435e-05,6796.108307762034,414.5936419330774,421.3489735909916
25544,2020-01-20,15.49578003,0.0005039,2.3243e-05,6796.096644505922,414.5350914067558,421.38419760508896
25544,2020-01-21,15.49579015,0.0004857,1.8675e-05,6796.093685572997,414.6558228699141,421.25754827608034
25544,2020-01-22,15.49579977,0.0004877,1.7365e-05,6796.090872835395,414.63941931671343,421.26832635407754
25544,2020-01-23,15.49024802,0.000632,-0.0067382,6797.7146016934785,415.2814460652089,423.8737573217486
25544,2020-01-24,15.49054177,0.0005467,-0.0026362,6797.628663878219,415.77540028767726,423.2079274687612
25544,2020-01-25,15.49101215,0.0005476,-7.8934e-07,6797.491057859887,415.631751756604,423.0763639631714
